payment_id,user_id,fraction_count,fraction_price,expected_amount,paid_amount,amount_match,payment_time,upload_time,time_difference,time_check,receiver_match,payment_status,ocr_confidence,utr,duplicate_utr,backend_status,fraud
PAY_1091,USER_514,50,100.0,5000.0,5000.0,YES,2026-07-17T08:49:00,2026-07-17T08:47:00,4.0,YES,YES,FAILED,0.9859,278895798687,NO,FAILED,YES
PAY_1092,USER_514,250,500.0,125000.0,125000.0,YES,2026-07-17T09:04:00,2026-07-17T09:03:00,4.0,YES,YES,SUCCESS,0.9604,160529751613,NO,COMPLETED,NO
PAY_1093,USER_519,100,100.0,10000.0,10000.0,YES,2026-07-17T09:18:00,2026-07-17T09:19:00,3.0,YES,YES,SUCCESS,0.9806,453521818835,NO,COMPLETED,NO
PAY_1094,USER_505,5,100.0,500.0,500.0,YES,2026-07-17T09:32:00,2026-07-17T09:34:00,2.0,YES,YES,SUCCESS,0.961,292127799799,NO,COMPLETED,NO
PAY_1095,USER_511,50,100.0,5000.0,5000.0,YES,2026-07-17T09:47:00,2026-07-17T09:48:00,2.0,YES,YES,SUCCESS,0.9609,449058147700,NO,COMPLETED,NO
PAY_1096,USER_510,250,100.0,25000.0,25000.0,YES,2026-07-17T10:01:00,2026-07-17T10:04:00,1.0,YES,YES,SUCCESS,0.9555,867980793597,NO,COMPLETED,NO
PAY_1097,USER_505,50,100.0,5000.0,5000.0,YES,2026-07-17T10:17:00,2026-07-17T10:19:00,2.0,YES,YES,SUCCESS,0.9783,518203778892,NO,COMPLETED,NO
PAY_1098,USER_512,50,250.0,12500.0,12500.0,YES,2026-07-17T10:33:00,2026-07-17T10:33:00,3.0,YES,YES,SUCCESS,0.9717,905151864492,NO,COMPLETED,NO
PAY_1099,USER_503,20,250.0,5000.0,5000.0,YES,2026-07-17T10:49:00,2026-07-17T10:47:00,4.0,YES,YES,FAILED,0.9799,690967054668,NO,PENDING,NO
PAY_1100,USER_513,100,500.0,50000.0,50000.0,YES,2026-07-17T11:02:00,2026-07-17T11:04:00,2.0,YES,YES,FAILED,0.9892,734670656272,NO,FAILED,YES
PAY_CUSTOM_8520,USER_808,2,4000.0,9000.0,9000.0,YES,2026-07-16T12:05:00,2026-07-16T12:03:00,5.0,YES,YES,SUCCESS,0.9726,614526809192,NO,COMPLETED,NO
PAY_CUSTOM_6140,USER_847,2,4000.0,9000.0,9000.0,YES,2026-07-16T12:04:00,2026-07-16T12:04:00,4.0,YES,YES,SUCCESS,0.9554,117943257972,NO,COMPLETED,NO
PAY_CUSTOM_3412,USER_845,2,4000.0,9000.0,9000.0,YES,2026-07-16T13:32:50.429190,2026-07-16T13:31:50.429190,3.0,YES,YES,SUCCESS,0.9652,902390038319,NO,COMPLETED,NO
PAY_CUSTOM_6823,USER_973,2,4000.0,9000.0,9000.0,YES,2026-07-16T13:32:50.429190,2026-07-16T13:32:50.429190,3.0,YES,YES,SUCCESS,0.9804,255171892676,NO,COMPLETED,NO
PAY_CUSTOM_5992,USER_876,2,4000.0,9000.0,9000.0,YES,2026-07-16T14:26:55.550015,2026-07-16T14:26:55.550015,3.0,YES,YES,SUCCESS,0.9834,021255605724,NO,COMPLETED,NO
PAY_CUSTOM_5385,USER_781,2,4000.0,9000.0,9000.0,YES,2026-07-16T14:28:55.550015,2026-07-16T14:27:55.550015,5.0,YES,YES,SUCCESS,0.9521,075730908940,NO,COMPLETED,NO
PAY_CUSTOM_8740,USER_951,2,4000.0,9000.0,9000.0,YES,2026-07-16T12:45:12,2026-07-16T12:46:12,1.0,YES,YES,SUCCESS,0.9516,518203778892,YES,COMPLETED,YES
PAY_CUSTOM_5784,USER_734,3,4000.0,13000.0,13000.0,YES,2026-07-16T12:46:12,2026-07-16T12:46:12,2.0,YES,YES,SUCCESS,0.9836,254820171269,NO,COMPLETED,NO
